problem,0.6931471805599453
solution,0.6124382622755681
link,0.6081460004346813
physical,0.6003157944205009
hubs,0.5568308860372612
vt,0.5455043523212377
aco,0.5426188352479694
shortest,0.5376741463070573
number,0.4605155925637993
hub,0.4464536674902813
survivable,0.4437116741368919
ant,0.4178455201909496
paths,0.4071707127373832
topology,0.3862901633662353
gats,0.3837618268635178
lightpaths,0.3706297513378745
algorithm,0.3703115074224365
cost,0.3685165351684070
lightpath,0.3601894766523005
ea,0.3549693393095135
set,0.3299570482802479
virtual,0.3288686525955787
mapping,0.3157142979947696
network,0.3038453394235376
algorithms,0.2990977559950449
pheromone,0.2988756151365821
nodes,0.2896025891380593
node,0.2872287974238130
path,0.2871075538532830
search,0.2729860471383346
based,0.2729860471383346
best,0.2714471418249221
traffic,0.2708907013154243
networks,0.2682384637098418
table,0.2682384637098418
design,0.2611170885671027
ga,0.2520788470574087
wavelength,0.2427363864395938
time,0.2397529631388852
solutions,0.2397529631388852
optical,0.2375162490968069
mutation,0.2349061804254134
hop,0.2332669927993932
wdm,0.2270759744112330
xed,0.2257422510961869
ﬁrst,0.2118244650968009
ﬁtness,0.2118244650968009
traﬃc,0.2094473995633418
diﬀerent,0.2039356258906223
success,0.2035853563686916
